Address,list_price,beds,baths,sq_ft,latitude,longitude
"1410 N State Pkwy Apt 8A Chicago, IL 60610",670000.0,3.0,2.5,2000.0,41.9082411,-87.62924249999999
"2700 N Mildred Ave # 3 Chicago, IL 60614",645000.0,3.0,2.5,2000.0,41.9314119,-87.65170719999999
"2450 N Racine Ave Chicago, IL 60614",525000.0,3.0,2.5,2000.0,41.926805,-87.658829
"1939 Sherman Ave Apt 3E Evanston, IL 60201",746000.0,3.0,2.5,2000.0,42.0534636,-87.6812078
"3150 N Lake Shore Dr Apt 10A Chicago, IL 60657",770000.0,3.0,2.5,2000.0,41.9390209,-87.638854
"1434 W Hollywood Ave Apt G Chicago, IL 60660",320000.0,2.0,2.5,2000.0,41.985712,-87.666403
"2111 W Churchill St Apt 113 Chicago, IL 60647",695000.0,2.0,2.5,2000.0,41.9144067,-87.68065759999999
"855 W Erie St Apt 122 Chicago, IL 60642",455000.0,2.0,2.5,2000.0,41.8930292,-87.649447
"5555 S Everett Ave Apt C6 Chicago, IL 60637",169000.0,3.0,2.0,2000.0,41.7937498,-87.5820507
"2910 N Pine Grove Ave # 2 Chicago, IL 60657",545000.0,3.0,2.0,2000.0,41.934641,-87.642094
"11 S Wille St Apt 606 Mt Prospect, IL 60056",321000.0,3.0,2.0,2000.0,42.065593,-87.9375221
"934 W Agatite Ave Apt 2 Chicago, IL 60640",477500.0,3.0,2.0,2000.0,41.96295569999999,-87.65369930000001
"560 W Roscoe St Apt 2E Chicago, IL 60657",520000.0,3.0,2.0,2000.0,41.9435684,-87.6443546
"333 S Oak Park Ave Apt 1N Oak Park, IL 60302",250000.0,3.0,2.0,2000.0,41.8821469,-87.7946621
"817 W Lawrence Ave Apt 1 Chicago, IL 60640",359000.0,3.0,2.0,2000.0,41.968922,-87.650813
"547 Hill Ter Apt 302 Winnetka, IL 60093",387000.0,3.0,2.0,2000.0,42.0950591,-87.7255921
"920 W Barry Ave Apt 5 Chicago, IL 60657",672500.0,3.0,2.0,2000.0,41.9383732,-87.6525673
"4040 N Mozart St Unit 1 Chicago, IL 60618",415000.0,3.0,2.0,2000.0,41.9552112,-87.69984339999999
"1120 N Wood St Apt 1 Chicago, IL 60622",475000.0,3.0,2.0,2000.0,41.9020814,-87.6726494
"1813 S Clark St # K41 Chicago, IL 60616",465000.0,2.0,2.0,2000.0,41.85708839999999,-87.6297326
"1750 W Julian St Apt 6 Chicago, IL 60622",450000.0,2.0,2.0,2000.0,41.9084371,-87.672187
"1000 W Washington Blvd Unit 336 Chicago, IL 60607",690000.0,2.0,2.0,2000.0,41.8834409,-87.6527871
"5560 Cloverdale Rd Hanover Park, IL 60133",260000.0,3.0,3.0,1976.0,41.9732788,-88.12554709999999
"392 W Wood St # 23 Palatine, IL 60067",350000.0,3.0,3.5,1965.0,42.1141843,-88.05373519999999
"1920 N Stanton Ct # 62 Arlington Heights, IL 60004",353000.0,3.0,3.5,1960.0,42.1107402,-87.9854909
"1740 N Marshfield Ave Apt 3 Chicago, IL 60622",500000.0,2.0,2.0,1955.0,41.91364859999999,-87.66931459999999
"250 E Pearson St Apt 1501 Chicago, IL 60611",1005000.0,2.0,2.5,1950.0,41.8979202,-87.6189597
"2051 Middlefork Rd Northfield, IL 60093",745000.0,4.0,2.5,1933.0,42.111043,-87.779996
"333 W Hubbard St Apt 901 Chicago, IL 60654",799000.0,2.0,2.0,1907.0,41.8897079,-87.6360511
"3800 N Lake Shore Dr # 10B Chicago, IL 60613",640000.0,2.0,2.5,1905.0,41.9526525,-87.64551089999999
"622 Grove Ln Forest Park, IL 60130",324000.0,3.0,2.5,1904.0,41.8747873,-87.8181015
"530 N Lake Shore Dr Apt 1004 Chicago, IL 60611",725000.0,3.0,3.0,1901.0,41.8921476,-87.61503719999999
"530 N Lake Shore Dr Apt 1204 Chicago, IL 60611",840000.0,3.0,3.0,1901.0,41.8921476,-87.61503719999999
"4026 N Clarendon Ave Apt 1N Chicago, IL 60613",368000.0,2.0,3.0,1900.0,41.95537969999999,-87.6501359
"766 Stonewall Ct Schaumburg, IL 60173",325000.0,3.0,2.5,1900.0,42.039997,-88.061781
"2769 Langley Cir Glenview, IL 60026",594000.0,3.0,2.5,1900.0,42.0785575,-87.8283416
"1939 W Division St Apt R4 Chicago, IL 60622",660000.0,3.0,2.0,1900.0,41.9029159,-87.6763574
"15713 Old Orchard Ct Unit 2N Orland Park, IL 60462",179000.0,3.0,2.0,1900.0,41.6042577,-87.82062479999999
"333 W Hubbard St Apt 813 Chicago, IL 60654",799000.0,2.0,2.0,1900.0,41.8897079,-87.6360511
"512 N Claremont Ave # 3 Chicago, IL 60612",420000.0,3.0,1.5,1900.0,41.8910879,-87.6857426
"333 N Jefferson St Apt 502 Chicago, IL 60661",315000.0,3.0,2.5,1883.0,41.8878211,-87.64239350000001
"2030 N Halsted St Apt 2N Chicago, IL 60614",715000.0,2.0,2.0,1876.0,41.9191249,-87.64892189999999
