Address ,List_Price ,
"747 Cove Pt # 92D Schaumburg, IL 60194","$505,000 ",
"8311 S Constance Ave Chicago, IL 60617","$156,500 ",
"1531 S 58th Ave Cicero, IL 60804","$260,000 ",
"3659 S Canal St Chicago, IL 60609","$887,000 ",
"9539 S Central Park Ave Evergreen Park, IL 60805","$151,500 ",
"10288 Southwest Hwy Apt 1D Chicago Ridge, IL 60415","$585,000 ",
"875 Oxford Pl # 113D Wheeling, IL 60090","$185,000 ",
"165 N Canal St Apt 1007 Chicago, IL 60606","$470,000 ",
"4316 N New England Ave Harwood Heights, IL 60706","$137,000 ",
"15 Taylor Ct # B Streamwood, IL 60107","$45,000 ",
"6125 N Mason Ave Chicago, IL 60646","$685,000 ",
"500 N Damen Ave Apt 305 Chicago, IL 60622","$280,000 ",
"7463 N Sheridan Rd Chicago, IL 60626","$255,000 ",
"180 E Pearson St Apt 4404 Chicago, IL 60611","$65,500 ",
"8927 Octavia Ave Morton Grove, IL 60053","$165,000 ",
"1640 W Belmont Ave Apt 4 Chicago, IL 60657","$336,000 ",
"846 W Ainslie St Apt Oc Chicago, IL 60640","$235,000 ",
"1304 N Ritchie Ct Chicago, IL 60610","$5,896 ",
"1250 S Michigan Ave Apt 1802 Chicago, IL 60605","$140,500 ",
"11345 S Hermosa Ave Chicago, IL 60643","$255,000 ",
"30 E Huron St Apt 4309 Chicago, IL 60611","$133,000 ",
"408 E North Water St Unit D Chicago, IL 60611","$769,000 ",
"4421 W Jean St Alsip, IL 60803","$82,000 ",
